Jun 19 22:17:55,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 22:18:02,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 22:18:11,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 22:21:21,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 22:21:26,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 22:21:35,sittingduck9-1,sshd,Failed,fred,::1
Jun 19 23:09:04,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:09:08,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:09:25,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:18:52,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:18:57,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:19:01,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:19:37,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:19:42,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:19:46,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:20:50,mary,sshd,Failed,fred,::1
Jun 19 23:20:51,mary,sshd,Failed,fred,::1
Jun 19 23:20:52,mary,sshd,Failed,fred,::1
Jun 19 23:24:04,mary,sshd,Failed,fred,::1
Jun 19 23:30:31,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:30:36,mary,sshd,Failed,fred,10.32.92.234
Jun 19 23:30:41,mary,sshd,Failed,fred,10.32.92.234
Jun 20 16:15:09,mary,sshd,Failed,fred,79.116.146.15
Jun 20 16:15:16,mary,sshd,Failed,fred,79.116.146.15
Jun 20 16:15:25,mary,sshd,Failed,fred,79.116.146.15
Jun 20 16:15:40,mary,sshd,Accepted,fred,79.116.146.15
